title,ingredients,instructions,yield,time,notes,author,source_url,error
Coconut Curry Lentil Soup,"['Brown lentils', 'Coconut milk', 'Vegetable or chicken stock', 'Onions', 'Fresh garlic', 'Fresh ginger', 'Yellow curry powder', 'Cinnamon sticks']","['Start by heating a soup pot over medium heat.', 'Add onions, garlic, and ginger, and sauté until fragrant.', 'Stir in yellow curry powder and cinnamon sticks.', 'Add brown lentils, coconut milk, and vegetable or chicken stock.', 'Bring the mixture to a boil, then reduce heat and simmer until lentils are tender.', 'Adjust seasoning to taste and serve hot.']",Serves 4-6,"{'prep': '10 minutes', 'cook': '20 minutes', 'total': '30 minutes'}",Serve with a big hunk of buttered crusty bread.,Holly Erickson & Natalie Mortimer,https://themodernproper.com/posts/coconut-curry-lentil-soup,
,,,,,,,https://thecastawaykitchen.com/2018/09/a-nut-free-version-of-famous-diet-doctor-keto-rolls/,Expecting value: line 1 column 1 (char 0)
Reverse-Seared Steak,"['Thick-cut steak (at least 1 1/2 inches thick)', 'Kosher salt', 'Freshly ground black pepper', 'Vegetable oil', 'Butter (optional)', 'Herbs like thyme or rosemary (optional)', 'Garlic cloves (optional)']","['Season steak generously with salt and, if desired, let it rest uncovered on a rack in the fridge overnight for dry-brining.', 'Preheat oven to a low temperature, around 200°F (93°C).', 'Place the steak on a wire rack set in a rimmed baking sheet.', 'Cook the steak in the oven until it reaches an internal temperature of about 10-15°F below your desired final temperature.', 'Remove steak from oven and let it rest while you prepare to sear.', 'Heat a cast iron skillet or heavy pan over high heat until very hot.', 'Add a small amount of vegetable oil to the pan, just enough to coat the bottom.', 'Sear the steak for about 1-2 minutes on each side until a deep brown crust forms.', 'If desired, add butter, herbs, and garlic to the pan and baste the steak with the melted butter for additional flavor.', 'Remove steak from pan and let it rest for a few minutes before slicing and serving.']",Serves 2 to 4,"{'prep': '5 minutes (plus optional overnight dry-brining)', 'cook': '45 minutes to 1 hour', 'total': '50 minutes to 1 hour 5 minutes'}",The reverse sear method works best with thick-cut steaks. Adjust cooking times based on steak thickness and desired doneness.,J. Kenji López-Alt,https://www.seriouseats.com/recipes/2018/10/reverse-seared-steak-recipe.html,
Vanilla-Brown Butter Sablé Cookies,"['2 1/2 cups unsalted butter (20 ounces)', '1 1/2 cups granulated sugar, divided', '3/4 cup unsifted powdered sugar (3 ounces)', '5 large egg yolks', '1 tablespoon vanilla extract (such as Heilala)', '4 1/4 cups all-purpose flour (18 1/8 ounces), sifted', '2 teaspoons kosher salt', '1 large egg white, beaten', '3/4 teaspoon sel gris or other crunchy sea salt, divided']","['Prepare an ice bath in a large bowl; set aside. Melt butter in a medium-size deep saucepan over medium, swirling often, until butter bubbles and develops a heavy foam, foam subsides, and butter turns a deep golden color, about 14 minutes. Remove from heat; pour brown butter into a heatproof bowl, scraping milk solids from bottom of saucepan into bowl. Place bowl in prepared ice bath; let cool, stirring occasionally, 10 minutes. Remove bowl from ice bath; let stand at room temperature 2 hours. Cover and chill overnight or up to 3 days.', 'Remove brown butter from fridge; let stand at room temperature 1 to 2 hours to soften. Transfer butter to bowl of a heavy-duty electric stand mixer fitted with paddle attachment. Add 1 cup granulated sugar and powdered sugar. Beat on medium-low speed until smooth and creamy but not yet light and fluffy, about 2 minutes. (Do not overbeat.) Add egg yolks, 1 at a time, beating after each addition, stopping to scrape down sides of bowl as needed. Add vanilla, and beat until just combined, about 5 seconds. Reduce speed to low; gradually add flour and kosher salt, beating until just combined, about 1 minute.', 'Form dough into a ball; transfer to a large sheet of parchment paper. Cover with a second sheet of parchment paper. Using a rolling pin, gently roll dough between parchment to 1/3-inch thickness. Transfer dough sandwiched between parchment paper onto a baking sheet. Chill until firm, 1 hour or overnight.', 'Remove top sheet of parchment paper from chilled dough. Cut dough into 24 (3-inch) circles. (Reroll dough scraps as needed; rechill dough if it becomes too soft to handle.) Transfer dough rounds to a baking sheet lined with parchment paper; freeze until solid, about 1 hour.', 'Preheat oven to 350°F. Remove 12 dough rounds from freezer. Place remaining 1/2 cup granulated sugar in a small bowl. Brush edges of the 12 dough rounds with half of the egg white; roll edges of dough rounds in granulated sugar to coat. Place dough rounds 3 inches apart on 2 baking sheets lined with parchment paper. Sprinkle tops evenly with half of the sel gris. Bake in preheated oven until centers of cookies are just set and edges are lightly browned, about 14 minutes. Remove from oven. Cool cookies on baking sheets 2 minutes; transfer to a wire rack to cool completely, about 30 minutes. Repeat procedure with remaining 12 dough rounds, remaining half of egg white, remaining granulated sugar (discard leftover granulated sugar once all 24 cookies have been rolled), and remaining half of sel gris.']",2 dozen,"{'prep': '45 mins', 'cook': '14 mins', 'total': '6 hrs 40 mins'}","Unbaked dough rounds may be prepared through step 4. Freeze until completely frozen, about 6 hours or up to overnight. Transfer frozen rounds to a ziplock plastic bag, and keep frozen until ready to bake.",Natasha Pickowicz,https://www.foodandwine.com/recipes/vanillabrown-butter-sable-cookies,
Deconstructed Pizza Casserole,[],[],,"{'prep': None, 'cook': None, 'total': None}",The recipe is available on Kalyn's Kitchen.,Kalyns Kitchen,https://www.huffpost.com/entry/keto-casserole-recipes_n_58adc8ebe4b03d80af715aee,
,,,,,,,https://thewoodenskillet.com/creamy-slow-cooker-white-chicken-chili/,Expecting value: line 1 column 1 (char 0)
,,,,,,,https://www.mydomaine.com/vegan-soup-recipes,Expecting value: line 1 column 1 (char 0)
Creamy Spinach Tortellini Soup with Chicken,"['1 tablespoon olive oil', '1/2 medium onion, chopped', '3 medium carrots, peeled & chopped or sliced thin', '3 sticks celery, chopped', '3 cloves garlic, minced', '8 ounces cremini mushrooms, sliced', '1 tablespoon flour', '4 cups chicken broth or stock', '1 cup water', '2 cups cooked chicken (leftover or rotisserie)', '1/4 teaspoon Italian seasoning', '2 generous cups refrigerated cheese tortellini', '1 cup heavy/whipping cream', '2 cups fresh baby spinach (packed)', 'Salt & pepper to taste']","['Sauté the onions, carrots, and celery in a soup pot until softened.', 'Add in the mushrooms and garlic, cooking for a few minutes more, stirring every so often.', 'Stir in the flour, and cook for a minute.', 'Add in the broth, water, Italian seasoning, and chicken. Bring to a boil, then add in the tortellini.', 'Reduce the heat, then simmer until the pasta is done.', 'Add in the cream and spinach, and warm through.', 'Season with salt & pepper.']",6 servings,"{'prep': '15 minutes', 'cook': '20 minutes', 'total': '35 minutes'}","This is a flexible soup, so feel free to add other vegetables you have on hand. It's not recommended to substitute the cream for a lower fat option as it adds to the silkiness and taste of the broth.",Natasha Bull,https://www.saltandlavender.com/creamy-spinach-tortellini-soup-with-chicken/?utm_campaign=later-linkinbio-saltandlavender&utm_content=later-1212655&utm_medium=social&utm_source=instagram,
,,,,,,,https://thewoodenskillet.com/creamy-fall-harvest-dairy-free-veggie-pot-pie/,Expecting value: line 1 column 1 (char 0)
,,,,,,,https://unboundwellness.com/the-ultimate-guide-to-tigernut-flour/,Expecting value: line 1 column 1 (char 0)
,,,,,,,https://thebigmansworld.com/healthy-no-bake-carrot-cake-breakfast-bars/,Expecting value: line 1 column 1 (char 0)
,[],[],,"{'prep': None, 'cook': None, 'total': None}","Access to the webpage content was denied, so no recipe details could be extracted.",,https://www.thekitchn.com/i-tried-ina-gartens-mashed-potatoes-263140?preview=true,
Burnished Potato Nuggets,"['5 lb. russet potatoes, peeled, cut into 2"" pieces', 'Kosher salt', '½ cup extra-virgin olive oil', '¼ cup vegetable oil', '8 garlic cloves, lightly crushed', '2 long sprigs rosemary']","['Preheat oven to 425°. Place potatoes in a large pot and pour in water to cover by 2"". Season water generously with salt and bring to a simmer over medium-high heat. Reduce heat and simmer gently until potatoes are tender on the outside but still very firm in the center, 8–10 minutes.', ""Pour off all of the water in pot, holding potatoes back (make sure there's no liquid left!). Let potatoes sit, uncovered, for a few minutes to steam off any excess liquid they've absorbed. Toss potatoes just enough to rough up their outsides and give them a floury starchy coating (do not toss so vigorously that they fall apart); season with salt."", 'Meanwhile, combine both oils in a large roasting pan and heat in oven 10 minutes.', ""Carefully remove pan from oven; add potatoes, turning each one to coat and moisten exterior. Make sure they're in a single layer and leave a bit of space between them. Return pan to oven and roast potatoes, turning every 10 minutes, for 30 minutes (if they aren't browning after 15 minutes, increase oven temperature to 450°)."", 'Toss in garlic and rosemary and cook until potatoes are deep golden brown on most of their sides, 8–10 minutes. Using a slotted spoon, transfer potatoes to a platter and serve with roasted garlic and rosemary alongside.']",8 servings,"{'prep': None, 'cook': '56 minutes', 'total': None}","Behold, your new standard for roasted potatoes: puck-size oven fries with creamy insides and unimaginably crunchy exteriors that will make you swoon.",Chris Morocco,https://www.bonappetit.com/recipe/burnished-potato-nuggets?utm_campaign=likeshopme&mbid=social_instagram&utm_medium=instagram&utm_source=www.instagram.com/p/BqI4Ojen8i7/&utm_content=www.instagram.com/p/BqI4Ojen8i7/,
,,,,,,,https://thecastawaykitchen.com/2018/11/keto-fudge-brownies-easy/,Expecting value: line 1 column 1 (char 0)
Shaved Carrots With Charred Dates,"['Carrots', 'Blood oranges or grapefruit', 'Unseasoned rice vinegar', 'Dates', 'Tarragon']","['Shave the carrots using a mandoline or a sharp knife.', 'Supreme the blood oranges or grapefruit by cutting the flesh off the core in lobes and squeeze out some juice.', 'Mix the citrus juice with unseasoned rice vinegar to create a dressing.', 'Soak the shaved carrots in the citrus dressing.', 'Char the dates in a hot cast iron skillet until blackened, then let them cool.', 'Remove the pits from the dates and tear them into bite-sized pieces.', 'Combine the soaked carrots, charred dates, and sprinkle with tarragon before serving.']",,"{'prep': None, 'cook': None, 'total': None}",This salad is a colorful and flavorful alternative to traditional leafy greens.,Aliza Abarbanel,https://www.bonappetit.com/story/raw-carrot-and-date-salad?utm_campaign=likeshopme&client_service_id=31182&utm_social_type=owned&utm_brand=epi&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&mbid=social_instagram_healthyish&utm_medium=social&client_service_name=healthyish&supported_service_name=instagram_publishing,
,,,,,,,https://www.howsweeteats.com/2018/11/smoked-salmon-platter/,Expecting value: line 1 column 1 (char 0)
Keto Cream Cheese Coconut Flour Pound Cake,"['Large eggs, room temperature', 'Full-fat cream cheese', 'Unsalted butter', 'Granulated sugar substitute', 'Coconut flour', 'Sour cream', 'Baking powder', 'Sea salt', 'Vanilla extract', ""Confectioner's sugar substitute (optional for lemon glaze)"", 'Lemon juice (optional for lemon glaze)', 'Lemon extract (optional for lemon glaze)', 'Lemon zest (optional for lemon glaze)']","['Preheat your oven to the appropriate temperature.', 'In a large mixing bowl, beat the room temperature eggs using an electric mixer.', 'Add the full-fat cream cheese and unsalted butter to the eggs and continue mixing until smooth.', 'Incorporate the granulated sugar substitute and mix well.', 'Gradually add the coconut flour, sour cream, baking powder, sea salt, and vanilla extract into the mixture, ensuring everything is well combined.', 'Pour the batter into a prepared baking pan.', 'Bake in the preheated oven until a toothpick inserted into the center comes out clean.', 'Allow the cake to cool on a cooling rack before serving.', ""If desired, prepare the lemon glaze by mixing the confectioner's sugar substitute, lemon juice, lemon extract, and lemon zest, and drizzle over the cooled cake.""]",Varies,"{'prep': 'Not specified', 'cook': 'Not specified', 'total': 'Not specified'}","This recipe is a nut-free version of the popular keto cream cheese pound cake, using coconut flour instead of almond flour.",Hilda Solares,https://www.fittoservegroup.com/finally-a-keto-cream-cheese-coconut-flour-pound-cake/,
